...1,doc_id,adj_token_id,noun_token_id,sentence,adj_token,noun_token,noun_lemma,parse_type,prenominal,adj_lower,dataset,adj_stem,noun_stem,person,session,subject,X
1,154,19,20,I want I want to make a casserole have you got either a neck of lamb or an ox tail or something like that.,ox,tail,tail,adj,TRUE,ox,cabnc_utts_udpipe,ox,tail,adult,NA,NA,NA
2,157,6,7,Well I'll have an ox tail then.,ox,tail,tail,adj,TRUE,ox,cabnc_utts_udpipe,ox,tail,adult,NA,NA,NA
3,282,2,3,These plastic bags and various.,plastic,bags,bag,adj,TRUE,plastic,cabnc_utts_udpipe,plastic,bag,adult,NA,NA,NA
4,508,13,14,Erm well in the early days we had to take a kiddies bible school.,bible,school,school,adj,TRUE,bible,cabnc_utts_udpipe,bibl,school,adult,NA,NA,NA
5,762,1,3,joint elders group.,joint,group,group,adj,FALSE,joint,cabnc_utts_udpipe,joint,group,adult,NA,NA,NA
6,980,12,14,That it would yes But I'd want to consult the giant advisory committee before putting that into print.,giant,committee,committee,adj,FALSE,giant,cabnc_utts_udpipe,giant,committe,adult,NA,NA,NA
7,1007,21,22,It also chose presidents it also chose a hundred and fifty members to serve on the central committee or the executive committee of the World's Council of Churches,executive,committee,committee,adj,TRUE,executive,cabnc_utts_udpipe,execut,committe,adult,NA,NA,NA
8,1026,5,6,And the church as bible road to fame in alerting us to our responsibilities,bible,road,road,adj,TRUE,bible,cabnc_utts_udpipe,bibl,road,adult,NA,NA,NA
9,1030,7,8,Er there is a a little orange leaflet which has been placed on the seats during the day that many of you I hope already have er for anyone who hasn't may I perhaps place these on the front table there's a the there's another supply over there and could I please ask that some responsible representative from each district would please take a few more of these away with you so that they are distributed in district meetings in the near future and attention drawn to them there er if there are not enough copies er then I'm sure the provincial office on receiving a a request from you will make sure there's more that passed on to you Now if you had an opportunity of glancing at the leaflet already you will have seen that the leader for this July's er weekend is is Mr Henry and I don't think I can do any better than to spend two minutes of the time that we've got in asking,orange,leaflet,leaflet,adj,TRUE,orange,cabnc_utts_udpipe,orang,leaflet,adult,NA,NA,NA
10,1073,58,61,That's the actual figure Erm one difficulty with with giving a financial report is so many things seem to happen quickly and a erm apart from the fact that there was a a major finance resources comes from we as well you see that I have to tell you now these have been done on the red letter assembly side and you may want to alter one there er according to reform I see the cost per erm person attending is not a hundred and twelve pounds but a hundred and fourteen pounds and that means that we have forty representatives we've got to try and find four thousand five hundred and sixty Now I hope I've got these facts right and I'm sure that not that Eileen may correct me that er we have er forty hundred pounds in the budget budget for this er the erm South Wales congregation has has kindly erm given us grant of a thousand pounds and I understand from the secretary of con Cardiff congregation and he's also offered a thousand pounds I don't know whether we've got that yet But then.,red,side,side,adj,FALSE,red,cabnc_utts_udpipe,red,side,adult,NA,NA,NA
11,1076,42,43,So that means that er in th the total we do have to pay in some way or another is four thousand pounds with sixty but we'll say we've already got three thousand four hundred if all the for forty people go and they pay twenty five pounds each that's another thousand so we've got a I think I've got it right a we're only a hundred and sixty short Fairly reasonable I hope we get that from somewhere,forty,people,people,adj,TRUE,forty,cabnc_utts_udpipe,forti,peopl,adult,NA,NA,NA
