adjective,noun,most_common_feature,most_common_feature_rating
,,,
fat,hen,average,5
,,,
castle,puzzle,jigsaw,3
,,,
red,hexagon,red,4
,,,
red,dog,brown,3
,,,
glazed,window,clear,5
,,,
horned,viper,horned,2
,,,
round,body,thin,2
,,,
coral,reef,coral,6
,,,
girl,glass,wine,2
,,,
pipe,cover,car,3
,,,
elephant,mommy,human,3
,,,
smiley,cake,plain,4
,,,
yellow,slab,grey,4
,,,
top,buckle,bottom,3
,,,
green,suit,grey,5
,,,
green,chain,black,4
,,,
purple,scissors,NA,NA
,,,
purple,circle,yellow,3
,,,
roast,marshmallow,unroasted,6
,,,
cookie,sheet,bed,5
,,,
street,corner,NA,NA
,,,
bath,tile,bath,4
,,,
yellow,belt,brown,5
,,,
green,horse,brown,5
,,,
bed,breakfast,table,5
,,,
woolly,sheep,woolly,4
,,,
bald,head,hairy,5
,,,
brown,stick,brown,5
,,,
bridge,piece,chess,4
,,,
giant,fish,small,6
,,,
colored,ring,silver,4
,,,
farm,vehicle,road,5
,,,
yellow,zucchini,green,5
,,,
strawberry,oatmeal,plain,4
,,,
garlic,powder,baking,3
,,,
wooden,train,diesel,5
,,,
orange,pumpkin,orange,6
,,,
pumpkin,face,pumpkin,5
,,,
toy,basket,gift,5
,,,
outside,room,inside,7
,,,
earth,worm,earth,6
,,,
fat,body,average,4
,,,
bite,mark,bite,2
,,,
snow,tire,road,4
,,,
red,bag,brown,5
,,,
bright,light,dim,4
,,,
football,game,football,5
,,,
navy,stripe,NA,NA
,,,
ear,ring,finger,5
,,,
room,door,room,7
,,,
puzzle,piece,chess,4
,,,
dark,screen,bright,6
,,,
bear,mask,cat,5
,,,
blood,test,blood,6
,,,
orange,necklace,silver,5
,,,
pee,diaper,pee,5
,,,
apple,head,,
,,,
room,suite,room,7
,,,
strawberry,sauce,apple,5
,,,
dictionary,publisher,book,6
,,,
giant,sandwich,medium,5
,,,
riding,toy,holding,6
,,,
purple,truck,black,5
,,,
baby,pool,baby,4
,,,
green,leaf,green,5
,,,
back,side,front,4
,,,
wet,shoe,dry,6
,,,
turkey,sty,pig,7
,,,
fridge,magnet,fridge,5
,,,
yellow,costume,NA,NA
,,,
gas,cooker,gas,5
,,,
mother,alligator,baby,5
,,,
oval,triangle,triangular,7
,,,
green,tomato,red,6
,,,
red,horse,brown,5
,,,
light,switch,light,6
,,,
dead,ornament,dead,7
,,,
pigeon,shit,seagull,5
,,,
apple,slice,apple,4
,,,
wet,girl,dry,6
,,,
candy,machine,sewing,5
,,,
jam,pot,NA,NA
,,,
lighting,hallway,lighting,4
,,,
music,toy,NA,NA
,,,
kitchen,counter,kitchen,6
,,,
green,slide,NA,NA
,,,
steam,shovel,metal,6
,,,
baby,hippo,adult,6
,,,
carrot,stick,,
,,,
sleeve,shirt,sleeve,5
,,,
goods,shop,goods,5
,,,
file,drawer,clothes,5
,,,
dirty,daddy,clean,6
,,,
solid,smack,weak,5
,,,
balloon,streamer,confetti,5
,,,
foot,length,meter,6
,,,
dead,skin,alive,5
,,,
sidewalk,chalk,schoolyard,5
,,,
fat,bunny,average,6
,,,
apple,tea,lemon,5
,,,
dirty,foot,clean,6
,,,
record,run,normal,5
,,,
seaside,cart,inland,5
,,,
round,globe,round,7
,,,
purple,onion,purple,7
,,,
red,cookie,brown,6
,,,
school,teacher,school,6
,,,
dirty,water,dirty,6
,,,
curling,brush,hair,5
,,,
girl,kiss,NA,NA
,,,
brown,dirt,brown,6
,,,
circus,tent,camping,5
,,,
hot,macaroni,cold,5
,,,
dark,green,medium,6
,,,
cinnamon,stick,powder,5
,,,
ham,salad,chicken,6
,,,
roast,lamb,unroasted,6
,,,
school,girl,school,6
,,,
crispy,worm,soft,6
,,,
gold,weaver,NA,NA
,,,
yellow,hoop,black,5
,,,
honey,pie,apple,3
,,,
pencil,show,NA,NA
,,,
arrow,sign,arrow,3
,,,
track,suit,track,4
,,,
