adjective,noun,article,adj_article
fat,hen,a,a
castle,puzzle,a,a
red,hexagon,a,a
red,dog,a,a
glazed,window,a,a
horned,viper,a,a
round,body,a,a
coral,reef,a,a
girl,glass,a,a
pipe,cover,a,a
elephant,mommy,a,an
smiley,cake,a,a
yellow,slab,a,a
top,buckle,a,a
green,suit,a,a
green,chain,a,a
purple,scissors,NA,NA
purple,circle,a,a
roast,marshmallow,a,a
cookie,sheet,a,a
street,corner,a,a
bath,tile,a,a
yellow,belt,a,a
green,horse,a,a
bed,breakfast,a,a
woolly,sheep,a,a
bald,head,a,a
brown,stick,a,a
bridge,piece,a,a
giant,fish,a,a
colored,ring,a,a
farm,vehicle,a,a
yellow,zucchini,a,a
strawberry,oatmeal,NA,NA
garlic,powder,NA,NA
wooden,train,a,a
orange,pumpkin,a,an
pumpkin,face,a,a
toy,basket,a,a
outside,room,a,an
earth,worm,a,an
fat,body,a,a
bite,mark,a,a
snow,tire,a,a
red,bag,a,a
bright,light,a,a
football,game,a,a
navy,stripe,a,a
ear,ring,a,an
room,door,a,a
puzzle,piece,a,a
dark,screen,a,a
bear,mask,a,a
blood,test,a,a
orange,necklace,a,an
pee,diaper,a,a
apple,head,a,an
room,suite,a,a
strawberry,sauce,NA,NA
dictionary,publisher,a,a
giant,sandwich,a,a
riding,toy,a,a
purple,truck,a,a
baby,pool,a,a
green,leaf,a,a
back,side,a,a
wet,shoe,a,a
turkey,sty,a,a
fridge,magnet,a,a
yellow,costume,a,a
gas,cooker,a,a
mother,alligator,an,a
oval,triangle,a,an
green,tomato,a,a
red,horse,a,a
light,switch,a,a
dead,ornament,an,a
pigeon,shit,NA,NA
apple,slice,a,an
wet,girl,a,a
candy,machine,a,a
jam,pot,a,a
lighting,hallway,a,a
music,toy,a,a
kitchen,counter,a,a
green,slide,a,a
steam,shovel,a,a
baby,hippo,a,a
carrot,stick,a,a
sleeve,shirt,a,a
goods,shop,a,a
file,drawer,a,a
dirty,daddy,a,a
solid,smack,a,a
balloon,streamer,a,a
foot,length,a,a
