adjective,noun,article,adj_article,gpt3_judgment
fat,hen,a,a,Rarely.
castle,puzzle,a,a,Sometimes
red,hexagon,a,a,Sometimes
red,dog,a,a,Sometimes
glazed,window,a,a,Often
horned,viper,a,a,Rarely
round,body,a,a,Almost always
coral,reef,a,a,Almost always
girl,glass,a,a,Never
pipe,cover,a,a,Rarely
elephant,mommy,a,an,Never
smiley,cake,a,a,Sometimes
yellow,slab,a,a,Rarely
top,buckle,a,a,Often
green,suit,a,a,Rarely
green,chain,a,a,Rarely
purple,scissors,,,Rarely
purple,circle,a,a,Sometimes
roast,marshmallow,a,a,Rarely
cookie,sheet,a,a,Often
street,corner,a,a,Often
bath,tile,a,a,Almost always
yellow,belt,a,a,Rarely
green,horse,a,a,Never
bed,breakfast,a,a,Often
woolly,sheep,a,a,Almost Always
bald,head,a,a,Often
brown,stick,a,a,Sometimes
bridge,piece,a,a,Sometimes.
giant,fish,a,a,Rarely.
colored,ring,a,a,Sometimes
farm,vehicle,a,a,Sometimes
yellow,zucchini,a,a,Rarely.
strawberry,oatmeal,,,Rarely
garlic,powder,,,Sometimes
wooden,train,a,a,Rarely
orange,pumpkin,a,an,Almost always
pumpkin,face,a,a,Rarely
toy,basket,a,a,Rarely
outside,room,a,an,Rarely
earth,worm,a,an,Often
fat,body,a,a,Sometimes.
bite,mark,a,a,Often
snow,tire,a,a,Often
red,bag,a,a,Sometimes
bright,light,a,a,Often
football,game,a,a,Often
navy,stripe,a,a,Often
ear,ring,a,an,Rarely
room,door,a,a,Almost always
puzzle,piece,a,a,Almost always.
dark,screen,a,a,Almost always
bear,mask,a,a,Rarely
blood,test,a,a,Sometimes
orange,necklace,a,an,Sometimes
pee,diaper,a,a,Almost Always
apple,head,a,an,Never
room,suite,a,a,Almost always
strawberry,sauce,,,Rarely
dictionary,publisher,a,a,Often
giant,sandwich,a,a,Rarely
riding,toy,a,a,Often
purple,truck,a,a,Rarely
baby,pool,a,a,Often
green,leaf,a,a,Almost Always
back,side,a,a,Never
wet,shoe,a,a,Never
turkey,sty,a,a,Never
fridge,magnet,a,a,Often
yellow,costume,a,a,Sometimes
gas,cooker,a,a,Often.
