adjective,noun,article,adj_article,gpt3_judgment
oval,circle,a,an,Almost always
kid,game,a,a,Sometimes
purple,basket,a,a,Rarely
purple,bead,a,a,Sometimes
orange,tiger,a,an,Almost always
hot,corn,a,a,Never
ballet,dress,a,a,Rarely
fish,puppet,a,a,Rarely
purple,patch,a,a,Rarely
green,bear,a,a,Never
bread,dough,,,Almost always
grey,hair,,,Rarely
document,file,a,a,Often
bedroom,flat,a,a,Often
yellow,kite,a,a,Sometimes
pitcher,glove,a,a,Rarely
ink,pad,a,an,Never
mouse,ear,an,a,Never
pink,cup,a,a,Rarely
red,belly,a,a,Never
orange,crayon,a,an,Almost always.
ankle,boot,a,an,Often
dog,bun,a,a,Never
bus,puzzle,a,a,Rarely
green,leg,a,a,Never
dirty,food,,,Rarely.
hamburger,bun,a,a,Often
soccer,ball,a,a,Almost always
jean,jacket,a,a,Often
green,chair,a,a,Sometimes
yellow,stick,a,a,Never
leaf,pile,a,a,Rarely
red,luggage,,,Rarely
orange,sequin,a,an,Sometimes
dirty,garbage,,,Almost always
wash,cloth,a,a,Often
green,bubble,a,a,Rarely
upstairs,toy,a,an,Rarely
balloon,popping,a,a,Almost always
yellow,mountain,a,a,Never
water,line,a,a,Often
top,piece,a,a,Often
straw,cup,a,a,Often
red,lead,a,a,Rarely
snack,boy,a,a,Rarely
circle,puzzle,a,a,Rarely
banana,chip,a,a,Rarely
apple,cider,,,Almost Always
snowman,melt,a,a,Never
skate,board,a,a,Almost Always
grocery,warehouse,a,a,Often
wheel,chair,a,a,Almost always
baby,bag,a,a,Sometimes
wood,box,a,a,Sometimes
car,ferry,a,a,Often
red,tights,,,Often
smiley,face,a,a,Often
crystal,piece,a,a,Rarely.
cherry,vanilla,,,Sometimes
bath,room,a,a,Almost always
yellow,match,a,a,Rarely
student,nurse,a,a,Sometimes
baby,cat,a,a,Almost always
orange,ball,a,an,Sometimes
firehouse,lunch,a,a,Rarely
red,tractor,a,a,Often
bowling,alley,an,a,Rarely
snow,ball,a,a,Never
pink,teddy,a,a,Often
toy,man,a,a,Rarely.
purple,mouse,a,a,Rarely
baby,bath,a,a,Almost always
green,house,a,a,Rarely
red,dandelion,a,a,Never
frozen,shoulder,a,a,Sometimes
hot,milk,,,Rarely
vinegar,bottle,a,a,Often
color,book,a,a,Sometimes
company,software,,,Sometimes
red,border,a,a,Sometimes
oak,tree,a,an,Often
music,note,a,a,Almost always.
mommy,hair,,,Rarely
top,branch,a,a,Rarely
burglar,alarm,an,a,Often
office,key,a,an,Often
green,toe,a,a,Never
movie,channel,a,a,Often
dune,buggy,a,a,Rarely
yellow,green,,,Sometimes
red,pig,a,a,Rarely
exterior,light,a,an,Often
plastics,company,a,a,Sometimes
yellow,chalk,,,Rarely
baby,clothes,,,Rarely.
park,parade,a,a,Sometimes
bike,ride,a,a,Sometimes
car,seat,a,a,Almost always
hot,doggy,a,a,Rarely
pink,sock,a,a,Rarely
green,dress,a,a,Sometimes
sea,shell,a,a,Almost always.
copy,cat,a,a,Rarely.
yellow,square,a,a,Often
wall,drawer,a,a,Rarely
maple,sugar,,,Rarely
snow,hill,a,a,Rarely.
sky,color,a,a,Often
day,school,a,a,Almost always.
vanilla,wafer,a,a,Sometimes
peacock,feather,a,a,Rarely
flat,fish,a,a,Rarely.
garden,sign,a,a,Sometimes
cream,cheese,,,Sometimes
hair,barrette,a,a,Often
orange,zebra,a,an,Never
bear,tooth,a,a,Never
cheese,sauce,,,Often
blood,checker,a,a,Rarely
bright,leaf,a,a,Rarely
brown,ale,an,a,Often
red,sifter,a,a,Rarely
color,leg,a,a,Never
purple,light,a,a,Rarely
wrap,present,a,a,Often
frozen,lip,a,a,Never
puppy,bark,a,a,Often
letter,side,a,a,Never
model,girl,a,a,Sometimes
horse,shoeing,a,a,Almost always
coal,block,a,a,Rarely
green,triangle,a,a,Rarely.
red,cap,a,a,Sometimes
rectangle,door,a,a,Almost always.
purple,submarine,a,a,Never
orange,bud,a,an,Rarely
mommy,parrot,a,a,Rarely
belly,button,a,a,Never
round,carpet,a,a,Never
orange,noodle,a,an,Rarely
baby,tooth,a,a,Almost always
plastic,lid,a,a,Often
rain,umbrella,an,a,Often
shore,island,an,a,Often
brown,guy,a,a,Always
cigarette,smoking,,,Almost Always
green,pea,a,a,Almost Always
bear,cookie,a,a,Rarely
picnic,blanket,a,a,Rarely
tobacco,jar,a,a,Never
baby,girl,a,a,Always
outside,toy,a,an,Sometimes
pointy,fish,a,a,Rarely
shoe,rack,a,a,Often
bubble,game,a,a,Sometimes
head,pirate,a,a,Rarely
web,site,a,a,Always
gold,medal,a,a,Almost always
brake,dust,,,Rarely
mama,deer,a,a,Often
bicycle,store,a,a,Often
orange,peach,a,an,Sometimes
red,seat,a,a,Sometimes
hay,stack,a,a,Rarely
brown,trunk,a,a,Often
brush,handle,a,a,Often
family,room,a,a,Often
orange,letter,a,an,Never
grassy,field,a,a,Sometimes
fish,fin,a,a,Almost always
stegosaurus,strike,a,a,Never
knight,costume,a,a,Often
executive,committee,a,an,Sometimes
potato,scoop,a,a,Often
red,star,a,a,Often
cannon,ball,a,a,Never
flat,house,a,a,Rarely.
trash,can,a,a,Almost always
yellow,blanket,a,a,Sometimes
green,shovel,a,a,Rarely.
cardboard,house,a,a,Never
round,wall,a,a,Never
red,edge,an,a,Rarely
orange,train,a,an,Rarely
wooden,leg,a,a,Rarely.
pink,bottle,a,a,Rarely
tip,toe,a,a,Never
purple,crayon,a,a,Often
building,marker,a,a,Rarely
red,card,a,a,Often
mommy,hand,a,a,Never
tea,pickle,a,a,Never
baby,alligator,an,a,Almost always
jelly,bagel,a,a,Rarely
hot,stove,a,a,Almost always
cable,run,a,a,Rarely
purple,reindeer,a,a,Never
yellow,roller,a,a,Rarely
green,yogurt,,,Rarely
grey,label,a,a,Rarely
pink,scarf,a,a,Sometimes
hairless,cat,a,a,Rarely
hand,washing,,,Often
teen,movie,a,a,Sometimes
fuel,tank,a,a,Almost always
brown,monkey,a,a,Often
red,pea,a,a,Rarely
apple,core,a,an,Never
walking,stick,a,a,Often
fuzzy,blanket,a,a,Often
wet,hand,a,a,Often
red,bow,a,a,Sometimes
slave,driver,a,a,Never
yellow,leg,a,a,Never
organ,pipe,a,an,Never
farmer,man,a,a,Sometimes
pink,rectangle,a,a,Rarely
ear,hole,a,an,Never
ice,box,a,an,Never
yogurt,raisin,a,a,Never
pink,lip,a,a,Almost always
grey,cap,a,a,Sometimes
orange,button,a,an,Sometimes
dark,glasses,,,Sometimes
top,model,a,a,Often
floor,tiling,,,Almost always
fruit,cake,a,a,Rarely
squirt,guns,a,a,Never
pencil,case,a,a,Almost always
purple,shovel,a,a,Never
red,rod,a,a,Never
yellow,triangle,a,a,Rarely
red,leaf,a,a,Rarely
red,square,a,a,Often
dark,yard,a,a,Rarely
dance,floor,a,a,Never
furry,puppy,a,a,Almost always
orange,container,a,an,Rarely
daddy,picture,a,a,Often
pickle,sandwich,a,a,Sometimes
station,sign,a,a,Almost always.
sweet,packet,a,a,Never
bright,hair,,,Rarely
fire,engine,an,a,Almost always
whale,shark,a,a,Rarely
bald,eagle,an,a,Almost always.
square,piece,a,a,Almost always.
cream,sandwich,a,a,Rarely
locked,door,a,a,Often
yellow,elephant,an,a,Never
bubble,clown,a,a,Sometimes
toy,board,a,a,Never
scout,tent,a,a,Sometimes
yellow,piggie,a,a,Rarely.
green,fish,a,a,Sometimes
giant,one,a,a,Never
market,day,a,a,Rarely
school,call,a,a,Sometimes
acid,soil,,,Often
sweet,person,a,a,Often
quarter,motor,a,a,Never
granola,bar,a,a,Never
bunny,hole,a,a,Never
wine,purse,a,a,Rarely
freeze,tag,a,a,Rarely
yellow,colors,a,a,Often
boy,drink,a,a,Never
finger,food,,,Often
purple,ark,an,a,Rarely
boat,singing,,,Sometimes
bloody,day,a,a,Never
pottery,room,a,a,Rarely
chicken,mushroom,a,a,Rarely
giant,potato,a,a,Rarely
color,orange,an,a,Always
round,glasses,,,Sometimes
wildlife,park,a,a,Sometimes
child,seat,a,a,Rarely
sweet,home,a,a,Often
hair,day,a,a,Never
dozen,egg,an,a,Always
doggy,bin,a,a,Never
dinosaur,blanket,a,a,Rarely
wall,light,a,a,Often
school,playground,a,a,Sometimes
red,bead,a,a,Often
paper,boy,a,a,Sometimes
purple,worm,a,a,Rarely
sleep,walking,,,Rarely.
dirty,car,a,a,Sometimes
blind,mommy,a,a,Rarely
sugar,spoon,a,a,Rarely.
key,lock,a,a,Often
dirty,pillow,a,a,Rarely
kitchen,light,a,a,Often
night,cream,,,Rarely
round,tablet,a,a,Never
tennis,ball,a,a,Almost always.
green,scissors,,,Rarely
grilled,cheese,,,Often
rainbow,parrot,a,a,Rarely
pool,table,a,a,Rarely
call,box,a,a,Never
female,crab,a,a,Almost Always
board,book,a,a,Often
bridesmaid,dress,a,a,Often
oatmeal,breakfast,a,an,Often
teddy,snack,a,a,Sometimes
red,cone,a,a,Rarely
cheese,sandwich,a,a,Often
mama,duck,a,a,Often
round,penny,a,a,Always
chain,saw,a,a,Often
holly,leaf,a,a,Rarely
ginger,wine,,,Rarely
flat,floor,a,a,Almost always
woman,sitting,a,a,Almost always.
kettle,boiling,,,Almost always
grassy,piece,a,a,Rarely
flower,border,a,a,Sometimes
yellow,star,a,a,Often
oil,taste,a,an,Sometimes
orange,taste,a,an,Often
steam,roller,a,a,Rarely
jazz,band,a,a,Sometimes.
fish,net,a,a,Often
baby,dinosaur,a,a,Rarely.
furry,duck,a,a,Never
dance,room,a,a,Sometimes
green,diamond,a,a,Rarely
alligator,green,,,Rarely
soy,milk,,,Rarely
fuzzy,poodle,a,a,Often
girl,toy,a,a,Sometimes
orange,tower,a,an,Rarely.
red,face,a,a,Never
shot,guns,a,a,Almost always
music,box,a,a,Rarely
fat,leg,a,a,Rarely.
yellow,pail,a,a,Often
baking,bread,,,Almost always.
cocktail,bar,a,a,Often
pirate,beard,a,a,Rarely.
red,hair,,,Rarely
drum,body,a,a,Rarely
hand,dress,a,a,Rarely
breakfast,bar,a,a,Sometimes
dough,rise,a,a,Often
seedless,grape,a,a,Often
television,licence,a,a,Almost always
toy,soldier,a,a,Never
woman,show,a,a,Often
dark,brown,,,Often
frog,umbrella,an,a,Rarely
wing,color,a,a,Rarely.
flip,flop,a,a,Rarely
green,honey,,,Rarely
strawberry,milk,,,Rarely
dark,food,,,Sometimes
wet,baby,a,a,Almost always
bunny,show,a,a,Rarely
giant,seal,a,a,Never
snack,honey,,,Often
ferry,boat,a,a,Often
pink,juice,,,Rarely
school,day,a,a,Never
navy,sweater,a,a,Often
milk,bottle,a,a,Almost always.
pirate,station,a,a,Rarely
yellow,shovel,a,a,Rarely
flower,seed,a,a,Almost always
picnic,basket,a,a,Often
fish,song,a,a,Rarely
orange,finger,a,an,Never
paint,stamping,,,Sometimes.
bright,child,a,a,Often
round,knob,a,a,Often
attic,bedroom,a,an,Rarely.
orange,collection,a,an,Rarely
driving,horse,a,a,Rarely
thick,one,a,a,Almost always
fish,cake,a,a,Never
plastic,edging,,,Often
outside,building,a,an,Sometimes
pie,baking,,,Often
giant,dog,a,a,Rarely
singing,song,a,a,Almost always
cat,food,,,Never
office,clerk,a,an,Often
guitar,player,a,a,Sometimes
dark,purple,,,Often
fire,pole,a,a,Never
sweat,shirt,a,a,Often
iron,board,a,an,Never
wooden,stair,a,a,Often
pink,lipstick,,,Often
green,container,a,a,Sometimes
bubble,gun,a,a,Never
yellow,airplane,an,a,Rarely
yellow,lion,a,a,Rarely
back,leg,a,a,Almost always
leg,bone,a,a,Almost always
salad,sandwich,a,a,Rarely
red,gate,a,a,Rarely
orange,eye,an,an,Rarely
girl,potty,a,a,Almost always
dinosaur,arm,an,a,Never
orange,boat,a,an,Rarely
yellow,marker,a,a,Often
whey,curd,a,a,Almost always
fat,piggie,a,a,Rarely.
red,box,a,a,Almost always.
office,girl,a,an,Sometimes
gold,sky,a,a,Rarely
electronics,firm,a,an,Often
chair,seat,a,a,Almost always
dirty,guy,a,a,Rarely.
metallic,bronze,,,Always
yellow,arrow,an,a,Rarely
owl,book,a,an,Rarely.
juice,box,a,a,Often
sweet,granny,a,a,Almost always.
dirty,spoon,a,a,Sometimes
snow,falling,,,Almost always.
dark,woods,,,Often
pink,door,a,a,Rarely
mermaid,leg,a,a,Never
fat,guy,a,a,Rarely.
wooden,shoe,a,a,Rarely
pink,lemonade,,,Often
show,office,an,a,Rarely
dolly,guy,a,a,Rarely
green,jelly,,,Sometimes
shoe,museum,a,a,Rarely
assistant,manager,a,an,Almost always
green,vacuum,a,a,Rarely
yellow,track,a,a,Never
skunk,salad,a,a,Never
circle,piece,a,a,Almost always.
top,side,a,a,Never
water,pill,a,a,Rarely
traffic,light,a,a,Almost always
