adjective,noun,mean
ace,flush,1.6666666666666667
acid,soil,2.25
acre,wood,2.5
adult,alligator,4
air,balloon,5
air,conditioner,3.3333333333333335
air,museum,2
air,plane,5.666666666666667
air,push,2.3333333333333335
airline,pilot,5
airplane,ride,3
alarm,clock,5
alcove,bedroom,2.6666666666666665
alligator,green,3
alloy,wheel,3
aloe,plant,3.5
alphabet,block,3
alphabet,puzzle,2.3333333333333335
alphabet,toy,2
aluminum,rod,3
animal,book,2.5
animal,cracker,3
animal,fat,6.333333333333333
animal,magazine,2.6666666666666665
animal,picture,2.6666666666666665
animal,puppy,7
animal,puzzle,2.6666666666666665
ankle,boot,2
ankle,sock,4
ant,aphid,3
ant,block,2
ant,food,2.5
ant,path,2
ant,powder,2
ant,trail,3.6666666666666665
ant,trap,2.6666666666666665
aphid,sandwich,1
apple,barrel,3
apple,book,2
apple,butter,3
apple,cider,4.333333333333333
apple,cinnamon,3.5
apple,cookie,2
apple,core,3.5
apple,crunch,2.5
apple,farm,3
apple,feast,2
apple,green,2.75
apple,head,2
apple,juice,3
apple,juicer,4.333333333333333
apple,mountain,1.5
apple,oatmeal,2.6666666666666665
apple,peanut,1
apple,pie,3.5
apple,sauce,3
apple,skin,2
apple,slice,2.6666666666666665
apple,snack,3
apple,tea,2.6666666666666665
apple,tree,3
aquarium,car,1.6666666666666667
arcade,music,2.3333333333333335
arm,pit,3.6666666666666665
army,man,2.3333333333333335
army,officer,3.3333333333333335
arrow,sign,3
art,advisor,2.6666666666666665
art,museum,3.6666666666666665
art,school,3
ash,tray,3
assistant,manager,4.5
asteroid,belt,2.3333333333333335
asteroid,hit,2
astronaut,costume,3
astronaut,hat,2
attic,bedroom,2.5
attic,room,2
baby,alarm,2.3333333333333335
baby,alligator,3
baby,animal,3
baby,bag,2.6666666666666665
baby,basket,2.6666666666666665
baby,bath,2.5
baby,bear,3.3333333333333335
baby,bee,3
baby,beluga,3.6666666666666665
baby,bird,3.6666666666666665
baby,blanket,3
baby,body,3
baby,book,2
baby,booty,3.5
baby,bottle,3.3333333333333335
baby,bounce,2.5
baby,boy,3
baby,brother,3
baby,bubble,2.3333333333333335
baby,buggy,5.5
baby,bunny,4.333333333333333
baby,carrot,3.5
baby,cat,3
baby,chair,2.3333333333333335
baby,chick,6.5
baby,chicken,4.333333333333333
baby,clothes,3
baby,cot,3
baby,crayon,3.3333333333333335
baby,cub,5.666666666666667
baby,cup,2.75
baby,deer,3.25
baby,dinosaur,3.6666666666666665
baby,dish,2.3333333333333335
baby,dog,3.6666666666666665
baby,doll,4
baby,duck,3
baby,eagle,3
baby,elephant,2.6666666666666665
baby,exercise,2
baby,fish,3
baby,food,3
baby,game,2
baby,giraffe,3.3333333333333335
baby,girl,3.25
baby,goat,3
baby,gorilla,3
baby,hair,3
baby,heart,3
baby,hippo,3
baby,ice,1
baby,jaguar,3
baby,jogger,1.3333333333333333
baby,leaf,2.25
baby,lion,3.3333333333333335
baby,mama,4.666666666666667
baby,meat,1.5
baby,monkey,3.5
baby,moon,2
baby,night,1
baby,nose,3
baby,ostrich,3
baby,owl,3.5
baby,panda,3.6666666666666665
baby,parrot,3
baby,penguin,3
baby,person,2
baby,picture,2.6666666666666665
baby,pig,4
baby,piggy,3
baby,piglet,4.333333333333333
baby,platypus,3
baby,pool,2.6666666666666665
baby,powder,3.6666666666666665
baby,pumpkin,2.75
baby,puppy,4.333333333333333
baby,rabbit,3
baby,raccoon,3
baby,room,3
baby,seal,3
baby,seat,3
baby,sheep,3.6666666666666665
baby,snail,3.5
baby,sock,3.6666666666666665
baby,song,2.75
baby,spoon,2.6666666666666665
baby,step,2.6666666666666665
baby,stick,1.3333333333333333
baby,stroller,4.5
baby,sweater,3
baby,swing,3
baby,talk,2.5
baby,tiger,3
baby,tooth,3
baby,toy,3.3333333333333335
baby,turtle,3
baby,voice,2.75
baby,wipe,5
baby,worm,3
back,alley,4.75
back,bedroom,2.75
back,car,1.6666666666666667
back,cellar,3.6666666666666665
back,chair,2.5
back,corner,3
back,door,3.3333333333333335
back,fence,3.6666666666666665
back,flip,3.6666666666666665
back,garden,3
back,hoe,3.3333333333333335
back,honey,2
back,leg,4.333333333333333
back,line,2
back,page,2
back,plate,2
back,porch,4.666666666666667
back,ride,2.3333333333333335
back,room,3
back,row,2.6666666666666665
back,seat,4
back,side,3.3333333333333335
back,step,3
back,wall,3.3333333333333335
back,window,3
back,yard,4
bacon,casserole,2.6666666666666665
bacon,crisp,2.3333333333333335
bacon,toast,2.6666666666666665
bagel,dog,1.5
bait,shop,2.3333333333333335
bake,cookie,4
bakery,bread,5
baking,bread,3.6666666666666665
bald,baby,4.666666666666667
bald,boy,2.3333333333333335
bald,eagle,4.333333333333333
bald,guy,3
bald,head,3
