adjective,noun,article,adj_article,llama_405b_base_judgment
fat,hen,a,a,never
castle,puzzle,a,a,about half the time
red,hexagon,a,a,about half the time
red,dog,a,a,never
glazed,window,a,a,almost always
horned,viper,a,a,never
round,body,a,a,about half the time
coral,reef,a,a,often
girl,glass,a,a,never
pipe,cover,a,a,never
elephant,mommy,a,an,always
smiley,cake,a,a,never
yellow,slab,a,a,always
top,buckle,a,a,almost always
green,suit,a,a,rarely
green,chain,a,a,never
purple,scissors,,,never
purple,circle,a,a,never
roast,marshmallow,a,a,rarely
cookie,sheet,a,a,almost always
street,corner,a,a,never
bath,tile,a,a,often
yellow,belt,a,a,never
green,horse,a,a,rarely
bed,breakfast,a,a,never
woolly,sheep,a,a,about half the time
bald,head,a,a,almost always
brown,stick,a,a,almost always
bridge,piece,a,a,about half the time
giant,fish,a,a,never
colored,ring,a,a,sometimes
farm,vehicle,a,a,never
yellow,zucchini,a,a,never
strawberry,oatmeal,,,never
garlic,powder,,,never
wooden,train,a,a,almost always
orange,pumpkin,a,an,almost always
pumpkin,face,a,a,always
toy,basket,a,a,never
outside,room,a,an,never
earth,worm,a,an,about half the time
fat,body,a,a,rarely
bite,mark,a,a,never
snow,tire,a,a,rarely
red,bag,a,a,rarely
bright,light,a,a,always
football,game,a,a,always
navy,stripe,a,a,almost always
ear,ring,a,an,never
room,door,a,a,always
puzzle,piece,a,a,about half the time
dark,screen,a,a,almost always
bear,mask,a,a,about half the time
blood,test,a,a,about half the time
orange,necklace,a,an,never
pee,diaper,a,a,about half the time
apple,head,a,an,never
room,suite,a,a,always
strawberry,sauce,,,never
dictionary,publisher,a,a,about half the time
giant,sandwich,a,a,rarely
riding,toy,a,a,never
purple,truck,a,a,almost always
baby,pool,a,a,rarely
green,leaf,a,a,never
back,side,a,a,often
wet,shoe,a,a,rarely
turkey,sty,a,a,never
fridge,magnet,a,a,often
yellow,costume,a,a,always
gas,cooker,a,a,about half the time
mother,alligator,an,a,sometimes
oval,triangle,a,an,never
green,tomato,a,a,never
red,horse,a,a,rarely
light,switch,a,a,about half the time
dead,ornament,an,a,always
pigeon,shit,,,never
apple,slice,a,an,sometimes
wet,girl,a,a,never
candy,machine,a,a,rarely
jam,pot,a,a,about half the time
lighting,hallway,a,a,often
music,toy,a,a,never
kitchen,counter,a,a,about half the time
green,slide,a,a,rarely
steam,shovel,a,a,almost always
baby,hippo,a,a,always
carrot,stick,a,a,never
sleeve,shirt,a,a,never
goods,shop,a,a,always
file,drawer,a,a,about half the time
dirty,daddy,a,a,almost always
solid,smack,a,a,never
balloon,streamer,a,a,almost always
foot,length,a,a,sometimes
dead,skin,,,always
sidewalk,chalk,,,rarely
fat,bunny,a,a,sometimes
apple,tea,,,always
dirty,foot,a,a,almost always
record,run,a,a,always
seaside,cart,a,a,often
round,globe,a,a,always
purple,onion,an,a,rarely
red,cookie,a,a,never
school,teacher,a,a,about half the time
dirty,water,,,always
curling,brush,a,a,never
girl,kiss,a,a,never
brown,dirt,,,never
circus,tent,a,a,rarely
hot,macaroni,,,rarely
dark,green,,,often
cinnamon,stick,a,a,rarely
ham,salad,a,a,never
roast,lamb,a,a,never
school,girl,a,a,always
crispy,worm,a,a,never
gold,weaver,a,a,sometimes
yellow,hoop,a,a,rarely
honey,pie,a,a,rarely
pencil,show,a,a,always
arrow,sign,a,an,almost always
track,suit,a,a,never
train,gate,a,a,never
red,notebook,a,a,rarely
oak,chest,a,an,rarely
navy,skirt,a,a,about half the time
pink,robe,a,a,never
thick,eyelash,an,a,rarely
slide,leg,a,a,almost always
cellar,door,a,a,about half the time
maple,bar,a,a,never
motorway,bridge,a,a,never
cardboard,box,a,a,almost always
freezing,road,a,a,never
orange,tea,,,rarely
statue,toy,a,a,never
crispy,brown,,,often
web,shooter,a,a,almost always
purple,bed,a,a,never
wastepaper,basket,a,a,often
snow,leopard,a,a,rarely
back,flip,a,a,almost always
purple,cup,a,a,never
peach,juice,,,sometimes
sweet,chocolate,,,almost always
dark,line,a,a,always
brown,egg,an,a,never
train,ride,a,a,rarely
red,room,a,a,almost always
red,coral,,,about half the time
dirty,tissue,a,a,almost always
orange,glasses,,,never
orange,tube,a,an,never
explorer,suit,a,an,sometimes
glass,table,a,a,rarely
colored,paper,a,a,never
trash,truck,a,a,never
fuzzy,slipper,a,a,often
bottom,tooth,a,a,never
girl,bed,a,a,never
tennis,court,a,a,always
boxing,glove,a,a,never
hot,mom,a,a,about half the time
feather,mattress,a,a,rarely
jelly,fish,a,a,about half the time
tonic,water,,,never
dirty,bowl,a,a,almost always
dolphin,family,a,a,never
stroller,toy,a,a,always
green,tail,a,a,never
silver,bell,a,a,almost always
red,flag,a,a,rarely
tattoo,heart,a,a,never
hot,water,,,sometimes
