adjective,noun,article,adj_article,llama_405b_instruct_judgment
fat,hen,a,a,never
castle,puzzle,a,a,about half the time
red,hexagon,a,a,about half the time
red,dog,a,a,never
glazed,window,a,a,almost always
horned,viper,a,a,rarely
round,body,a,a,always
coral,reef,a,a,almost always
girl,glass,a,a,rarely
pipe,cover,a,a,always
elephant,mommy,a,an,sometimes
smiley,cake,a,a,rarely
yellow,slab,a,a,never
top,buckle,a,a,always
green,suit,a,a,rarely
green,chain,a,a,never
purple,scissors,,,rarely
purple,circle,a,a,never
roast,marshmallow,a,a,never
cookie,sheet,a,a,almost always
street,corner,a,a,often
bath,tile,a,a,sometimes
yellow,belt,a,a,rarely
green,horse,a,a,never
bed,breakfast,a,a,almost always
woolly,sheep,a,a,almost always
bald,head,a,a,rarely
brown,stick,a,a,almost always
bridge,piece,a,a,never
giant,fish,a,a,rarely
colored,ring,a,a,always
farm,vehicle,a,a,rarely
yellow,zucchini,a,a,sometimes
strawberry,oatmeal,,,rarely
garlic,powder,,,rarely
wooden,train,a,a,never
orange,pumpkin,a,an,almost always
pumpkin,face,a,a,rarely
toy,basket,a,a,never
outside,room,a,an,never
earth,worm,a,an,almost always
fat,body,a,a,about half the time
bite,mark,a,a,rarely
snow,tire,a,a,rarely
red,bag,a,a,rarely
bright,light,a,a,often
football,game,a,a,rarely
navy,stripe,a,a,about half the time
ear,ring,a,an,often
room,door,a,a,almost always
puzzle,piece,a,a,always
dark,screen,a,a,about half the time
bear,mask,a,a,rarely
blood,test,a,a,sometimes
orange,necklace,a,an,rarely
pee,diaper,a,a,always
apple,head,a,an,never
room,suite,a,a,always
strawberry,sauce,,,rarely
dictionary,publisher,a,a,rarely
giant,sandwich,a,a,rarely
riding,toy,a,a,rarely
purple,truck,a,a,rarely
baby,pool,a,a,sometimes
green,leaf,a,a,almost always
back,side,a,a,always
wet,shoe,a,a,about half the time
turkey,sty,a,a,rarely
fridge,magnet,a,a,almost always
yellow,costume,a,a,rarely
gas,cooker,a,a,almost always
mother,alligator,an,a,sometimes
oval,triangle,a,an,never
green,tomato,a,a,never
red,horse,a,a,sometimes
light,switch,a,a,almost always
dead,ornament,an,a,about half the time
pigeon,shit,,,sometimes
apple,slice,a,an,sometimes
wet,girl,a,a,rarely
candy,machine,a,a,rarely
jam,pot,a,a,sometimes
lighting,hallway,a,a,almost always
music,toy,a,a,rarely
kitchen,counter,a,a,almost always
green,slide,a,a,never
steam,shovel,a,a,rarely
baby,hippo,a,a,rarely
carrot,stick,a,a,rarely
sleeve,shirt,a,a,almost always
goods,shop,a,a,almost always
file,drawer,a,a,never
dirty,daddy,a,a,rarely
solid,smack,a,a,always
balloon,streamer,a,a,rarely
foot,length,a,a,sometimes
dead,skin,,,almost always
sidewalk,chalk,,,almost always
fat,bunny,a,a,rarely
apple,tea,,,rarely
dirty,foot,a,a,often
record,run,a,a,rarely
seaside,cart,a,a,sometimes
round,globe,a,a,always
purple,onion,an,a,rarely
red,cookie,a,a,rarely
school,teacher,a,a,almost always
dirty,water,,,almost always
curling,brush,a,a,rarely
girl,kiss,a,a,almost always
brown,dirt,,,often
circus,tent,a,a,rarely
hot,macaroni,,,almost always
dark,green,,,often
cinnamon,stick,a,a,rarely
ham,salad,a,a,rarely
roast,lamb,a,a,always
school,girl,a,a,sometimes
crispy,worm,a,a,never
gold,weaver,a,a,about half the time
yellow,hoop,a,a,sometimes
honey,pie,a,a,rarely
pencil,show,a,a,never
arrow,sign,a,an,about half the time
track,suit,a,a,never
train,gate,a,a,never
red,notebook,a,a,rarely
oak,chest,a,an,often
navy,skirt,a,a,sometimes
pink,robe,a,a,rarely
thick,eyelash,an,a,almost always
slide,leg,a,a,never
cellar,door,a,a,rarely
maple,bar,a,a,about half the time
motorway,bridge,a,a,often
cardboard,box,a,a,about half the time
freezing,road,a,a,sometimes
orange,tea,,,rarely
statue,toy,a,a,rarely
crispy,brown,,,sometimes
web,shooter,a,a,rarely
purple,bed,a,a,rarely
wastepaper,basket,a,a,sometimes
snow,leopard,a,a,rarely
back,flip,a,a,almost always
purple,cup,a,a,rarely
peach,juice,,,rarely
sweet,chocolate,,,often
dark,line,a,a,almost always
brown,egg,an,a,almost always
train,ride,a,a,sometimes
red,room,a,a,rarely
red,coral,,,sometimes
dirty,tissue,a,a,almost always
orange,glasses,,,rarely
orange,tube,a,an,rarely
explorer,suit,a,an,never
glass,table,a,a,rarely
colored,paper,a,a,sometimes
trash,truck,a,a,rarely
fuzzy,slipper,a,a,always
bottom,tooth,a,a,about half the time
girl,bed,a,a,about half the time
tennis,court,a,a,about half the time
boxing,glove,a,a,rarely
hot,mom,a,a,rarely
feather,mattress,a,a,rarely
jelly,fish,a,a,rarely
tonic,water,,,rarely
