adjective,noun,article,adj_article,llama_base_judgment
fat,hen,a,a,never
castle,puzzle,a,a,sometimes
red,hexagon,a,a,about half the time
red,dog,a,a,rarely
glazed,window,a,a,often
horned,viper,a,a,rarely
round,body,a,a,sometimes
coral,reef,a,a,always
girl,glass,a,a,rarely
pipe,cover,a,a,about half the time
elephant,mommy,a,an,often
smiley,cake,a,a,rarely
yellow,slab,a,a,almost always
top,buckle,a,a,never
green,suit,a,a,rarely
green,chain,a,a,often
purple,scissors,,,almost always
purple,circle,a,a,about half the time
roast,marshmallow,a,a,rarely
cookie,sheet,a,a,about half the time
street,corner,a,a,often
bath,tile,a,a,often
yellow,belt,a,a,never
green,horse,a,a,rarely
bed,breakfast,a,a,often
woolly,sheep,a,a,about half the time
bald,head,a,a,rarely
brown,stick,a,a,often
bridge,piece,a,a,about half the time
giant,fish,a,a,never
colored,ring,a,a,about half the time
farm,vehicle,a,a,rarely
yellow,zucchini,a,a,rarely
strawberry,oatmeal,,,rarely
garlic,powder,,,always
wooden,train,a,a,never
orange,pumpkin,a,an,often
pumpkin,face,a,a,never
toy,basket,a,a,never
outside,room,a,an,never
earth,worm,a,an,almost always
fat,body,a,a,almost always
bite,mark,a,a,sometimes
snow,tire,a,a,rarely
red,bag,a,a,sometimes
bright,light,a,a,often
football,game,a,a,often
navy,stripe,a,a,often
ear,ring,a,an,sometimes
room,door,a,a,about half the time
puzzle,piece,a,a,sometimes
dark,screen,a,a,often
bear,mask,a,a,almost always
blood,test,a,a,never
orange,necklace,a,an,never
pee,diaper,a,a,always
apple,head,a,an,always
room,suite,a,a,sometimes
strawberry,sauce,,,about half the time
dictionary,publisher,a,a,often
giant,sandwich,a,a,about half the time
riding,toy,a,a,often
purple,truck,a,a,never
baby,pool,a,a,rarely
green,leaf,a,a,often
back,side,a,a,often
wet,shoe,a,a,almost always
turkey,sty,a,a,almost always
fridge,magnet,a,a,sometimes
yellow,costume,a,a,sometimes
gas,cooker,a,a,rarely
mother,alligator,an,a,often
oval,triangle,a,an,never
green,tomato,a,a,about half the time
red,horse,a,a,about half the time
light,switch,a,a,about half the time
dead,ornament,an,a,never
pigeon,shit,,,often
apple,slice,a,an,about half the time
wet,girl,a,a,about half the time
candy,machine,a,a,never
jam,pot,a,a,rarely
lighting,hallway,a,a,almost always
music,toy,a,a,never
kitchen,counter,a,a,about half the time
green,slide,a,a,almost always
steam,shovel,a,a,always
baby,hippo,a,a,rarely
carrot,stick,a,a,rarely
sleeve,shirt,a,a,always
goods,shop,a,a,always
file,drawer,a,a,almost always
dirty,daddy,a,a,almost always
solid,smack,a,a,never
balloon,streamer,a,a,sometimes
foot,length,a,a,often
dead,skin,,,sometimes
sidewalk,chalk,,,often
fat,bunny,a,a,never
apple,tea,,,rarely
dirty,foot,a,a,never
record,run,a,a,almost always
seaside,cart,a,a,never
round,globe,a,a,always
purple,onion,an,a,often
red,cookie,a,a,rarely
school,teacher,a,a,often
dirty,water,,,almost always
curling,brush,a,a,almost always
girl,kiss,a,a,often
brown,dirt,,,almost always
circus,tent,a,a,rarely
hot,macaroni,,,about half the time
dark,green,,,sometimes
cinnamon,stick,a,a,never
ham,salad,a,a,rarely
roast,lamb,a,a,always
school,girl,a,a,sometimes
crispy,worm,a,a,never
gold,weaver,a,a,never
yellow,hoop,a,a,rarely
honey,pie,a,a,almost always
pencil,show,a,a,never
arrow,sign,a,an,almost always
track,suit,a,a,never
train,gate,a,a,rarely
red,notebook,a,a,never
oak,chest,a,an,rarely
navy,skirt,a,a,almost always
pink,robe,a,a,often
thick,eyelash,an,a,sometimes
slide,leg,a,a,always
cellar,door,a,a,never
maple,bar,a,a,never
motorway,bridge,a,a,almost always
cardboard,box,a,a,often
freezing,road,a,a,almost always
orange,tea,,,often
statue,toy,a,a,about half the time
crispy,brown,,,often
web,shooter,a,a,never
purple,bed,a,a,rarely
wastepaper,basket,a,a,sometimes
snow,leopard,a,a,rarely
back,flip,a,a,often
purple,cup,a,a,always
peach,juice,,,almost always
sweet,chocolate,,,often
dark,line,a,a,often
brown,egg,an,a,almost always
train,ride,a,a,rarely
red,room,a,a,sometimes
red,coral,,,never
dirty,tissue,a,a,sometimes
orange,glasses,,,never
orange,tube,a,an,rarely
explorer,suit,a,an,almost always
glass,table,a,a,almost always
colored,paper,a,a,rarely
trash,truck,a,a,rarely
fuzzy,slipper,a,a,almost always
bottom,tooth,a,a,always
girl,bed,a,a,sometimes
tennis,court,a,a,often
boxing,glove,a,a,rarely
hot,mom,a,a,always
feather,mattress,a,a,rarely
jelly,fish,a,a,almost always
tonic,water,,,almost always
dirty,bowl,a,a,almost always
dolphin,family,a,a,often
stroller,toy,a,a,almost always
green,tail,a,a,sometimes
silver,bell,a,a,almost always
red,flag,a,a,never
tattoo,heart,a,a,often
hot,water,,,often
baby,penguin,a,a,rarely
dress,piece,a,a,almost always
smiley,guy,a,a,often
hot,pepper,a,a,sometimes
farm,tractor,a,a,often
curly,tail,a,a,often
oatmeal,pie,a,an,rarely
green,jacket,a,a,never
back,porch,a,a,rarely
thick,canopy,a,a,almost always
green,vegetable,a,a,about half the time
purple,cat,a,a,always
dead,mommy,a,a,almost always
baby,elephant,an,a,rarely
bottom,lip,a,a,about half the time
bird,cage,a,a,rarely
thick,clip,a,a,rarely
kitty,cat,a,a,sometimes
office,phone,a,an,always
bottom,row,a,a,almost always
brown,spot,a,a,sometimes
sun,lotion,,,sometimes
yellow,bill,a,a,never
brown,bear,a,a,about half the time
garbage,can,a,a,sometimes
rice,cake,a,a,rarely
dancing,bud,a,a,never
hot,air,,,almost always
wooden,puzzle,a,a,about half the time
piano,piece,a,a,often
yellow,hair,,,rarely
bear,mama,a,a,almost always
pink,eyeball,an,a,never
smiley,girl,a,a,almost always
quarter,cup,a,a,sometimes
cum,store,a,a,always
marine,tank,a,a,almost always
teacher,day,a,a,often
green,edge,an,a,rarely
paint,can,a,a,about half the time
night,gown,a,a,rarely
cartoon,ring,a,a,never
ski,pants,,,rarely
green,beard,a,a,rarely
sugar,snack,a,a,about half the time
soup,kitchen,a,a,rarely
queen,crab,a,a,rarely
snow,book,a,a,never
hot,bowl,a,a,rarely
turtle,shell,a,a,rarely
night,dress,a,a,almost always
snow,dog,a,a,rarely
dish,cloth,a,a,always
cylinder,gas,,,often
baby,stroller,a,a,about half the time
cursive,letter,a,a,almost always
yellow,dragon,a,a,never
grape,fruit,a,a,almost always
red,sweet,a,a,rarely
green,scooter,a,a,sometimes
yellow,duckling,a,a,sometimes
orange,sticker,a,an,almost always
dirty,crayon,a,a,about half the time
stone,cup,a,a,rarely
gold,ticket,a,a,never
girl,hood,a,a,sometimes
giant,shadow,a,a,never
concrete,driveway,a,a,always
purple,dinosaur,a,a,about half the time
cereal,box,a,a,rarely
moon,game,a,a,almost always
girl,colors,a,a,always
burnt,charcoal,,,often
train,station,a,a,often
boy,sock,a,a,never
wood,window,a,a,never
green,triceratops,a,a,about half the time
thick,model,a,a,almost always
bottom,stair,a,a,about half the time
