adjective,noun,article,adj_article,llama_instruct_judgment
fat,hen,a,a,often
castle,puzzle,a,a,almost always
red,hexagon,a,a,rarely
red,dog,a,a,rarely
glazed,window,a,a,almost always
horned,viper,a,a,almost always
round,body,a,a,sometimes
coral,reef,a,a,almost always
girl,glass,a,a,almost always
pipe,cover,a,a,almost always
elephant,mommy,a,an,always
smiley,cake,a,a,rarely
yellow,slab,a,a,never
top,buckle,a,a,rarely
green,suit,a,a,rarely
green,chain,a,a,rarely
purple,scissors,,,rarely
purple,circle,a,a,almost always
roast,marshmallow,a,a,never
cookie,sheet,a,a,almost always
street,corner,a,a,often
bath,tile,a,a,often
yellow,belt,a,a,never
green,horse,a,a,often
bed,breakfast,a,a,about half the time
woolly,sheep,a,a,almost always
bald,head,a,a,rarely
brown,stick,a,a,often
bridge,piece,a,a,rarely
giant,fish,a,a,sometimes
colored,ring,a,a,often
farm,vehicle,a,a,sometimes
yellow,zucchini,a,a,rarely
strawberry,oatmeal,,,rarely
garlic,powder,,,almost always
wooden,train,a,a,sometimes
orange,pumpkin,a,an,almost always
pumpkin,face,a,a,rarely
toy,basket,a,a,often
outside,room,a,an,often
earth,worm,a,an,almost always
fat,body,a,a,often
bite,mark,a,a,rarely
snow,tire,a,a,sometimes
red,bag,a,a,rarely
bright,light,a,a,almost always
football,game,a,a,rarely
navy,stripe,a,a,never
ear,ring,a,an,almost always
room,door,a,a,often
puzzle,piece,a,a,often
dark,screen,a,a,often
bear,mask,a,a,rarely
blood,test,a,a,often
orange,necklace,a,an,rarely
pee,diaper,a,a,almost always
apple,head,a,an,never
room,suite,a,a,about half the time
strawberry,sauce,,,sometimes
dictionary,publisher,a,a,rarely
giant,sandwich,a,a,almost always
riding,toy,a,a,sometimes
purple,truck,a,a,rarely
baby,pool,a,a,rarely
green,leaf,a,a,almost always
back,side,a,a,always
wet,shoe,a,a,almost always
turkey,sty,a,a,almost always
fridge,magnet,a,a,often
yellow,costume,a,a,about half the time
gas,cooker,a,a,often
mother,alligator,an,a,almost always
oval,triangle,a,an,never
green,tomato,a,a,about half the time
red,horse,a,a,almost always
light,switch,a,a,almost always
dead,ornament,an,a,never
pigeon,shit,,,often
apple,slice,a,an,almost always
wet,girl,a,a,never
candy,machine,a,a,often
jam,pot,a,a,rarely
lighting,hallway,a,a,always
music,toy,a,a,sometimes
kitchen,counter,a,a,often
green,slide,a,a,sometimes
steam,shovel,a,a,rarely
baby,hippo,a,a,sometimes
carrot,stick,a,a,always
sleeve,shirt,a,a,often
goods,shop,a,a,often
file,drawer,a,a,sometimes
dirty,daddy,a,a,almost always
solid,smack,a,a,often
balloon,streamer,a,a,rarely
foot,length,a,a,always
dead,skin,,,almost always
sidewalk,chalk,,,almost always
fat,bunny,a,a,often
apple,tea,,,rarely
dirty,foot,a,a,often
record,run,a,a,almost always
seaside,cart,a,a,rarely
round,globe,a,a,almost always
purple,onion,an,a,almost always
red,cookie,a,a,rarely
school,teacher,a,a,always
dirty,water,,,often
curling,brush,a,a,rarely
girl,kiss,a,a,about half the time
brown,dirt,,,almost always
circus,tent,a,a,almost always
hot,macaroni,,,almost always
dark,green,,,rarely
cinnamon,stick,a,a,rarely
ham,salad,a,a,almost always
roast,lamb,a,a,often
school,girl,a,a,almost always
crispy,worm,a,a,never
gold,weaver,a,a,never
yellow,hoop,a,a,almost always
honey,pie,a,a,rarely
pencil,show,a,a,rarely
arrow,sign,a,an,often
track,suit,a,a,never
train,gate,a,a,rarely
red,notebook,a,a,rarely
oak,chest,a,an,often
navy,skirt,a,a,sometimes
pink,robe,a,a,rarely
thick,eyelash,an,a,rarely
slide,leg,a,a,rarely
cellar,door,a,a,often
maple,bar,a,a,about half the time
motorway,bridge,a,a,often
cardboard,box,a,a,always
freezing,road,a,a,rarely
orange,tea,,,rarely
statue,toy,a,a,rarely
crispy,brown,,,sometimes
web,shooter,a,a,rarely
purple,bed,a,a,rarely
wastepaper,basket,a,a,often
snow,leopard,a,a,never
back,flip,a,a,often
purple,cup,a,a,rarely
peach,juice,,,rarely
sweet,chocolate,,,almost always
dark,line,a,a,always
brown,egg,an,a,often
train,ride,a,a,often
red,room,a,a,sometimes
red,coral,,,never
dirty,tissue,a,a,almost always
orange,glasses,,,rarely
orange,tube,a,an,rarely
